handle,title,brand_slug,category,subcategory,product_type,short_description,long_description,source_website,source_product_url,created_at,updated_at
liverhd,LiverHD,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle LiverHD is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/liverhd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
kidneyhd,KidneyHD,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle KidneyHD is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/kidneyhd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
k2,K2,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle K2 is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/k2/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
glycohd,GlycoHD,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle GlycoHD is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/glycohd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
greenshd,GreensHD,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS Citrus by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle GreensHD is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/greenshd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
d3,D3,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle D3 is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/d3/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
curcumin,Curcumin,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Curcumin is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/curcumin/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
collagenhd,CollagenHD,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle CollagenHD is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/collagenhd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
citrus-bergamot,Citrus Bergamot,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Citrus Bergamot is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/citrus-bergamot/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
burnhd,BurnHD,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle BurnHD is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/burnhd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
betaine-hcl,Betaine HCL,hd-muscle,HEALTH + WELLNESS,,,"Premium HEALTH + WELLNESS by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Betaine HCL is a premium health + wellness designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/betainehcl/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
prehd-essential,PreHD Essential,hd-muscle,PRE-WORKOUT,,,"Premium PRE-WORKOUT Blue Raspberry by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle PreHD Essential is a premium pre-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/prehd-essential/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
euphoria,Euphoria,hd-muscle,PRE-WORKOUT,,,"Premium PRE-WORKOUT by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Euphoria is a premium pre-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/euphoria/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
stimhd,StimHD,hd-muscle,PRE-WORKOUT,,,"Premium PRE-WORKOUT by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle StimHD is a premium pre-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/stimhd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
pumphd,PumpHD,hd-muscle,PRE-WORKOUT,,,"Premium PRE-WORKOUT Rainbow Strips by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle PumpHD is a premium pre-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/pumphd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
prehd-black,PreHD Black,hd-muscle,PRE-WORKOUT,,,"Premium PRE-WORKOUT Strawberry Mango by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle PreHD Black is a premium pre-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/prehd-black/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
prehd-elite,PreHD Elite,hd-muscle,PRE-WORKOUT,,,"Premium PRE-WORKOUT Tangerine by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle PreHD Elite is a premium pre-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/prehd-elite/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.319Z
prehd-ultra,PreHD Ultra,hd-muscle,PRE-WORKOUT,,,"Premium PRE-WORKOUT Sour Gummies by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle PreHD Ultra is a premium pre-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/prehd-ultra/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
eaas,EAAs,hd-muscle,INTRA-WORKOUT,,,"Premium INTRA-WORKOUT Unflavored by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle EAAs is a premium intra-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/eaahd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
bcaa,BCAA,hd-muscle,INTRA-WORKOUT,,,"Premium INTRA-WORKOUT by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle BCAA is a premium intra-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/bcaa/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
intrahd,IntraHD,hd-muscle,INTRA-WORKOUT,,,"Premium INTRA-WORKOUT Grapefruit by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle IntraHD is a premium intra-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/intrahd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
hydrahd,HydraHD,hd-muscle,INTRA-WORKOUT,,,"Premium INTRA-WORKOUT Tangerine by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle HydraHD is a premium intra-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/hydrahd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
glutahd,GlutaHD,hd-muscle,INTRA-WORKOUT,,,"Premium INTRA-WORKOUT by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle GlutaHD is a premium intra-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/glutahd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
creahd-creapurer,CreaHD (Creapure®),hd-muscle,INTRA-WORKOUT,,,"Premium INTRA-WORKOUT by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle CreaHD (Creapure®) is a premium intra-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/creahd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
carbhd,CarbHD,hd-muscle,INTRA-WORKOUT,,,"Premium INTRA-WORKOUT Unflavored by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle CarbHD is a premium intra-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/carbhd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
casein,Casein,hd-muscle,POST-WORKOUT,,,"Premium POST-WORKOUT by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Casein is a premium post-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/casein/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
protein-pancakes,Protein Pancakes,hd-muscle,POST-WORKOUT,,,"Premium POST-WORKOUT by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle Protein Pancakes is a premium post-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/protein-pancakes/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
prohd-isolate,ProHD Isolate,hd-muscle,POST-WORKOUT,,,"Premium POST-WORKOUT Chocolate by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle ProHD Isolate is a premium post-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/prohd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
wheyhd,WheyHD,hd-muscle,POST-WORKOUT,,,"Premium POST-WORKOUT by HD Muscle. Authentic, lab-tested, and delivered across India on Upgraded.co.in.","HD Muscle WheyHD is a premium post-workout designed for athletes and fitness enthusiasts who refuse to compromise on quality. . Whether you are training for performance, building strength, or supporting your overall wellness, this product from HD Muscle is formulated to help you achieve your fitness goals.

Available exclusively on Upgraded.co.in with guaranteed authenticity, GST invoices, and fast Pan-India delivery.",hdmuscle.in,https://hdmuscle.in/products/whey-hd/,2026-05-01T18:37:31.781Z,2026-05-01T18:38:48.320Z
