Handle,Title,Body (HTML),Vendor,Product Type,Tags,Status,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Policy,Variant Inventory Quantity,Image
creatine,Creatine Monohydrate,"<p>Pure micronized creatine monohydrate for strength, power and muscle volume. 5g per serving.</p>",Morphogen Nutrition,Supplements,Creatine,Active,,24.99,,deny,100,creatine.jpg
d3-k2-vitamin-fortification,D3 & K2 Vitamin Fortification,"<p>High-potency vitamin D3 and K2 for bone health, immune function and cardiovascular support.</p>",Morphogen Nutrition,Supplements,Vitamins,Active,,18.00,,deny,100,d3-k2.jpg
enzymes-digestion-support,Enzymes - Digestion Support,"<p>Digestive enzyme complex with amylase, protease, lipase and lactase for complete digestion.</p>",Morphogen Nutrition,Supplements,Digestion,Active,,31.99,,deny,100,enzymes.jpg
glutamine,Glutamine,"<p>L-Glutamine powder for gut health, immune support and muscle recovery. 5g per serving.</p>",Morphogen Nutrition,Supplements,Amino Acids,Active,,27.99,,deny,100,glutamine.jpg
health-series-stack,Health Series Stack,"<p>Complete health stack including Heart, Brain, Liver and Kidney support formulas.</p>",Morphogen Nutrition,Supplements,Stacks,Active,,313.44,,deny,50,
heart-lipids,Heart - Lipids Support,"<p>Cardiovascular support with omega-3s, CoQ10 and plant sterols for healthy cholesterol levels.</p>",Morphogen Nutrition,Supplements,Heart Health,Active,,52.99,,deny,100,heart.jpg
heart-health,Heart Health - Complete Support,"<p>Comprehensive heart health formula with CoQ10, Fish Oil, Garlic and Hawthorn.</p>",Morphogen Nutrition,Supplements,Heart Health,Active,,105.43,,deny,50,heart.jpg
heart-health-bp,Heart Health BP - Blood Pressure Support,"<p>Blood pressure support formula with beetroot, arginine and hibiscus for healthy circulation.</p>",Morphogen Nutrition,Supplements,Heart Health,Active,,159.57,,deny,50,
hydrate-sport-electrolytes,Hydrate Sport Electrolytes,"<p>Complete electrolyte replacement with sodium, potassium, magnesium and calcium for hydration.</p>",Morphogen Nutrition,Supplements,Electrolytes,Active,,44.99,,deny,100,hydrate.jpg
joint-inflammation,Joint & Inflammation Support,"<p>Joint health formula with glucosamine, chondroitin, MSM and turmeric for mobility.</p>",Morphogen Nutrition,Supplements,Joint Health,Active,,52.99,,deny,100,joint.jpg
kidney_bloodpressure,Kidney & Blood Pressure Support,"<p>Kidney support with D-Mannose, Cranberry extract and potassium for urinary tract health.</p>",Morphogen Nutrition,Supplements,Kidney Health,Active,,59.99,,deny,100,kidney.jpg
lean,Lean - Weight Management,"<p>Lean mass support formula with L-Carnitine, Garcinia Cambogia and green coffee extract.</p>",Morphogen Nutrition,Supplements,Weight Loss,Active,,48.00,,deny,100,lean.jpg
liver-tudca,TUDCA - Liver Support,"<p>TUDCA (Tauroursodeoxycholic acid) for liver detoxification and bile flow support.</p>",Morphogen Nutrition,Supplements,Liver Health,Active,,52.99,,deny,100,liver.jpg
liver-health,Liver Health - Complete Support,"<p>Comprehensive liver support with Milk Thistle, TUDCA, NAC and Alpha Lipoic Acid.</p>",Morphogen Nutrition,Supplements,Liver Health,Active,,105.43,,deny,50,liver.jpg
max-pre-workout-stack,Max Pre-Workout Stack,"<p>Maximum performance stack with AlphaGen Max pre-workout and pump product combined.</p>",Morphogen Nutrition,Supplements,Stacks,Active,,101.63,,deny,50,
mens-health-libido,Mens Health - Libido Support,"<p>Male performance and libido support with Tribulus, Maca and Horny Goat Weed.</p>",Morphogen Nutrition,Supplements,Mens Health,Active,,51.99,,deny,100,mens-libido.jpg
mens-hormone-control-stack,Mens Hormone Control Stack,"<p>Complete hormonal support stack for men with testosterone and cortisol management.</p>",Morphogen Nutrition,Supplements,Stacks,Active,,136.77,,deny,50,
multi-vitamins-minerals,Multi-Vitamins & Minerals,"<p>Complete daily multivitamin with essential vitamins, minerals and trace elements.</p>",Morphogen Nutrition,Supplements,Vitamins,Active,,51.99,,deny,100,multi.jpg
nightcap,NightCap - Sleep & Recovery,"<p>Sleep support formula with melatonin, magnesium, GABA and tryptophan for deep sleep.</p>",Morphogen Nutrition,Supplements,Sleep,Active,,52.99,,deny,100,nightcap.jpg
nutrigreens,NutriGreens - Superfood Greens,"<p>Organic greens powder with spirulina, chlorella, wheatgrass and barley grass for detox.</p>",Morphogen Nutrition,Supplements,Superfoods,Active,,52.99,,deny,100,nutrigreens.jpg
omega-fishoil-vitaminsupport,Omega Fish Oil - Vitamin Support,"<p>Pure fish oil with EPA/DHA for heart, brain and joint health. 2000mg per serving.</p>",Morphogen Nutrition,Supplements,Omega-3,Active,,48.99,,deny,100,fishoil.jpg
pms-support,PMS Support - Womens Health,"<p>Premenstrual support with Chasteberry, Dong Quai and B6 for hormone balance.</p>",Morphogen Nutrition,Supplements,Womens Health,Active,,35.99,,deny,100,pms.jpg
prime-total-health,Prime Total Health,"<p>Ultimate daily health formula with vitamins, minerals, antioxidants and adaptogens.</p>",Morphogen Nutrition,Supplements,Health,Active,,57.99,,deny,100,prime.jpg
pump-max-blood-flow,Pump Max - Blood Flow,"<p>Vasodilator supplement with L-Citrulline, L-Arginine and Beetroot for pump and performance.</p>",Morphogen Nutrition,Supplements,Pump,Active,,49.99,,deny,100,pump-max.jpg
recovery-aminos,Recovery Aminos,"<p>Complete amino acid formula with BCAAs, EAAs and glutamine for muscle recovery.</p>",Morphogen Nutrition,Supplements,Amino Acids,Active,,51.99,,deny,100,recovery.jpg
stainless-steel-shaker,Stainless Steel Shaker Bottle,"<p>Premium stainless steel shaker bottle with mixing ball. BPA-free, 24oz capacity.</p>",Morphogen Nutrition,Accessories,Accessories,Active,,19.99,,deny,100,
thermogen-max-fat-loss,Thermogen Max Fat Loss,"<p>Maximum strength fat burner with thermogenic compounds for weight management.</p>",Morphogen Nutrition,Supplements,Fat Burner,Active,,48.99,,deny,100,thermogen.jpg
thyroid,Thyroid Support,"<p>Thyroid support formula with iodine, selenium, zinc and Ashwagandha for metabolism.</p>",Morphogen Nutrition,Supplements,Thyroid,Active,,32.00,,deny,100,thyroid.jpg
volugen-max-nonstim-preworkout,Volugen Max Non-Stim Pre-Workout,"<p>Non-stimulant pre-workout for pump and focus without caffeine. Great for evening use.</p>",Morphogen Nutrition,Supplements,Pre-Workout,Active,,55.99,,deny,100,volugen.jpg
womens-health-plus-libido,Womens Health Plus Libido,"<p>Female libido and hormonal support with Maca, Tribulus and Fenugreek.</p>",Morphogen Nutrition,Supplements,Womens Health,Active,,51.99,,deny,100,womens.jpg
womens-health-bundle,Womens Health Bundle,"<p>Complete womens health bundle with PMS support, hormones and libido products.</p>",Morphogen Nutrition,Supplements,Stacks,Active,,83.58,,deny,50,
shrooms,Shrooms - Mushroom Complex,"<p>Functional mushroom blend including Reishi, Cordyceps, Lion's Mane and Turkey Tail.</p>",Morphogen Nutrition,Supplements,Mushrooms,Active,,36.00,,deny,100,shrooms.jpg
vegagen,VegaGen - Vegan Protein,"<p>Complete plant-based protein blend with pea, rice and hemp protein. 25g protein per serving.</p>",Morphogen Nutrition,Supplements,Protein,Active,,36.00,,deny,100,vegagen.jpg
